title	url	path_to_file
Vegetable dhansak recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegetable_dhansak_03473	./DATA//Vegetable dhansak recipe - BBC Food.html
Mary Berry's fish pie recipe - BBC Food	https://www.bbc.co.uk/food/recipes/mary_berrys_fish_pie_79943	./DATA//Mary Berry's fish pie recipe - BBC Food.html
Vegan mushroom stroganoff  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegan_mushroom_80921	./DATA//Vegan mushroom stroganoff  recipe - BBC Food.html
Speedy sweet and sour pork recipe - BBC Food	https://www.bbc.co.uk/food/recipes/speedy_sweet_and_sour_52552	./DATA//Speedy sweet and sour pork recipe - BBC Food.html
Cherry scones recipe - BBC Food	https://www.bbc.co.uk/food/recipes/scones_35420	./DATA//Cherry scones recipe - BBC Food.html
Seafood risotto recipe - BBC Food	https://www.bbc.co.uk/food/recipes/seafoodrisotto_5522	./DATA//Seafood risotto recipe - BBC Food.html
Seafood linguine recipe - BBC Food	https://www.bbc.co.uk/food/recipes/linguine_with_prawns_and_29068	./DATA//Seafood linguine recipe - BBC Food.html
Seafood pasta recipe - BBC Food	https://www.bbc.co.uk/food/recipes/seafood_pasta_with_73534	./DATA//Seafood pasta recipe - BBC Food.html
Moules marinière with cream, garlic and parsley recipe - BBC Food	https://www.bbc.co.uk/food/recipes/moulesmarinierewithc_71787	./DATA//Moules marinière with cream, garlic and parsley recipe - BBC Food.html
Rice bowl with ginger, radish and avocado recipe - BBC Food	https://www.bbc.co.uk/food/recipes/rice_bowl_with_ginger_58307	./DATA//Rice bowl with ginger, radish and avocado recipe - BBC Food.html
Harissa polenta with vegetables recipe - BBC Food	https://www.bbc.co.uk/food/recipes/harissa_polenta_with_98148	./DATA//Harissa polenta with vegetables recipe - BBC Food.html
Harissa baked fish with bulgur wheat recipe - BBC Food	https://www.bbc.co.uk/food/recipes/harissa_baked_fish_with_63091	./DATA//Harissa baked fish with bulgur wheat recipe - BBC Food.html
Curry pumpkin with ‘buss up shut’ (paratha roti) recipe - BBC Food	https://www.bbc.co.uk/food/recipes/curry_pumpkin_14259	./DATA//Curry pumpkin with ‘buss up shut’ (paratha roti) recipe - BBC Food.html
Vegan roasted beetroot and shallot tart recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegan_roasted_beetroot__35939	./DATA//Vegan roasted beetroot and shallot tart recipe - BBC Food.html
Slow cooker beef casserole recipe - BBC Food	https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_34234	./DATA//Slow cooker beef casserole recipe - BBC Food.html
Ugandan rolex recipe - BBC Food	https://www.bbc.co.uk/food/recipes/ugandan_rolex_11861	./DATA//Ugandan rolex recipe - BBC Food.html
Chicken bastilla with orange salad recipe - BBC Food	https://www.bbc.co.uk/food/recipes/chicken_bastilla_with_27181	./DATA//Chicken bastilla with orange salad recipe - BBC Food.html
Grilled pork chops with blatjang and radishes recipe - BBC Food	https://www.bbc.co.uk/food/recipes/grilled_pork_chops_with_74983	./DATA//Grilled pork chops with blatjang and radishes recipe - BBC Food.html
Vegetable dhansak recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegetable_dhansak_03473	./DATA//Vegetable dhansak recipe - BBC Food.html
Mary Berry's fish pie recipe - BBC Food	https://www.bbc.co.uk/food/recipes/mary_berrys_fish_pie_79943	./DATA//Mary Berry's fish pie recipe - BBC Food.html
Vegan mushroom stroganoff  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegan_mushroom_80921	./DATA//Vegan mushroom stroganoff  recipe - BBC Food.html
Speedy sweet and sour pork recipe - BBC Food	https://www.bbc.co.uk/food/recipes/speedy_sweet_and_sour_52552	./DATA//Speedy sweet and sour pork recipe - BBC Food.html
Cherry scones recipe - BBC Food	https://www.bbc.co.uk/food/recipes/scones_35420	./DATA//Cherry scones recipe - BBC Food.html
Seafood risotto recipe - BBC Food	https://www.bbc.co.uk/food/recipes/seafoodrisotto_5522	./DATA//Seafood risotto recipe - BBC Food.html
Seafood linguine recipe - BBC Food	https://www.bbc.co.uk/food/recipes/linguine_with_prawns_and_29068	./DATA//Seafood linguine recipe - BBC Food.html
Seafood pasta recipe - BBC Food	https://www.bbc.co.uk/food/recipes/seafood_pasta_with_73534	./DATA//Seafood pasta recipe - BBC Food.html
Moules marinière with cream, garlic and parsley recipe - BBC Food	https://www.bbc.co.uk/food/recipes/moulesmarinierewithc_71787	./DATA//Moules marinière with cream, garlic and parsley recipe - BBC Food.html
Recipes | A - BBC Food	https://www.bbc.co.uk/food/recipes/a-z/a/1	./DATA//Recipes | A - BBC Food.html
Rice bowl with ginger, radish and avocado recipe - BBC Food	https://www.bbc.co.uk/food/recipes/rice_bowl_with_ginger_58307	./DATA//Rice bowl with ginger, radish and avocado recipe - BBC Food.html
Harissa polenta with vegetables recipe - BBC Food	https://www.bbc.co.uk/food/recipes/harissa_polenta_with_98148	./DATA//Harissa polenta with vegetables recipe - BBC Food.html
Harissa baked fish with bulgur wheat recipe - BBC Food	https://www.bbc.co.uk/food/recipes/harissa_baked_fish_with_63091	./DATA//Harissa baked fish with bulgur wheat recipe - BBC Food.html
Curry pumpkin with ‘buss up shut’ (paratha roti) recipe - BBC Food	https://www.bbc.co.uk/food/recipes/curry_pumpkin_14259	./DATA//Curry pumpkin with ‘buss up shut’ (paratha roti) recipe - BBC Food.html
Vegan roasted beetroot and shallot tart recipe - BBC Food	https://www.bbc.co.uk/food/recipes/vegan_roasted_beetroot__35939	./DATA//Vegan roasted beetroot and shallot tart recipe - BBC Food.html
Slow cooker beef casserole recipe - BBC Food	https://www.bbc.co.uk/food/recipes/slow_cooker_beef_stew_34234	./DATA//Slow cooker beef casserole recipe - BBC Food.html
Greek-style meatball bake  recipe - BBC Food	https://www.bbc.co.uk/food/recipes/greek-style_meatball_85252	./DATA//Greek-style meatball bake  recipe - BBC Food.html
Watermelon and feta salad recipe - BBC Food	https://www.bbc.co.uk/food/recipes/watermelonandfetasal_86516	./DATA//Watermelon and feta salad recipe - BBC Food.html
Slow-braised pork belly with wilted greens recipe - BBC Food	https://www.bbc.co.uk/food/recipes/slow-braised_pork_belly_95710	./DATA//Slow-braised pork belly with wilted greens recipe - BBC Food.html
